,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
80,20,20,[845836.],1,10,0,0,127,0.910121028363096,-50,0
81,310,20,[923917.],1,8,0,0,133,0.905736656072126,-46,1
82,643,20,[929573.],1,14,0,0,220,0.665413404230209,-58,2
83,968,20,[624484.],1,18,0,0,331,0.520455496333264,-66,3
84,21,21,[845836.],1,10,0,0,162,0.785942983688113,-50,0
85,311,21,[923917.],1,7,0,0,141,0.879889844513433,-44,1
86,644,21,[929573.],1,14,0,0,241,0.60807091021118,-58,2
87,969,21,[624484.],1,15,0,0,296,0.536562803169021,-60,3
88,22,22,[845836.],1,12,0,0,248,0.583181660379657,-54,0
89,312,22,[923917.],1,8,0,0,133,0.890036319298651,-46,1
90,645,22,[929573.],1,13,0,0,260,0.582579351432743,-56,2
91,970,22,[624484.],1,5,0,0,371,0.470412396856017,-40,3
92,23,23,[845836.],1,11,0,0,197,0.676504243721055,-52,0
93,313,23,[923917.],1,9,0,0,175,0.744733762526901,-48,1
94,646,23,[929573.],1,3,0,0,147,0.832857656053728,-36,2
95,971,23,[624484.],1,11,0,0,345,0.502988160119836,-52,3
96,24,24,[845836.],0,16,0,0,400,0.464011206046211,-32,0
97,314,24,[923917.],1,8,0,0,162,0.77412801217963,-46,1
98,647,24,[929573.],0,13,0,0,400,0.482972349296118,-26,2
99,972,24,[624484.],1,15,0,0,231,0.637911552603315,-60,3
100,25,25,[845836.],1,7,0,0,148,0.818584722039597,-44,0
101,315,25,[923917.],1,8,0,0,186,0.69799534104941,-46,1
102,648,25,[929573.],0,10,0,0,400,0.45621646413448,-20,2
103,973,25,[624484.],0,14,0,0,400,0.472722424250514,-28,3
104,26,26,[845836.],1,16,0,0,315,0.51748205745445,-62,0
105,316,26,[923917.],1,14,0,0,355,0.473139683308129,-58,1
106,649,26,[929573.],1,10,0,0,292,0.549294647659333,-50,2
107,974,26,[624484.],0,19,0,0,400,0.478570202458926,-38,3
108,27,27,[845836.],1,21,0,0,365,0.477501969941714,-72,0
109,317,27,[923917.],1,7,0,0,183,0.705138796019008,-44,1
110,650,27,[929573.],1,7,0,0,168,0.764081055175689,-44,2
111,975,27,[624484.],1,17,0,0,292,0.560346493399363,-64,3
112,28,28,[845836.],0,2,0,0,400,0.44813468047103,-4,0
113,318,28,[923917.],1,9,0,0,254,0.58179937593428,-48,1
114,651,28,[929573.],0,14,0,0,400,0.471861513669153,-28,2
115,976,28,[624484.],0,17,0,0,400,0.478509106992288,-34,3
116,29,29,[845836.],1,7,0,0,203,0.682506184781947,-44,0
117,319,29,[923917.],0,11,0,0,400,0.456406975106679,-22,1
118,652,29,[929573.],0,11,0,0,400,0.473884104093223,-22,2
119,977,29,[624484.],0,12,0,0,400,0.469943233488655,-24,3
120,30,30,[845836.],1,10,0,0,209,0.664277603189526,-50,0
121,320,30,[923917.],0,16,0,0,400,0.460416707038269,-32,1
122,653,30,[929573.],1,5,0,0,109,1.08037932429494,-40,2
123,978,30,[624484.],0,15,0,0,400,0.463901403475337,-30,3
124,31,31,[845836.],0,11,0,0,400,0.461475184307891,-22,0
125,321,31,[923917.],1,9,0,0,140,0.880377147413574,-48,1
126,654,31,[929573.],1,5,0,0,209,0.680871947029163,-40,2
127,979,31,[624484.],0,10,0,0,400,0.477842262537394,-20,3
