,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
72,18,18,[861821.],1,6,0,0,175,0.7584400497879294,-42.0,0
73,1150,18,[186832.],1,7,0,0,185,0.6944519445968559,-44.0,1
74,2268,18,[734538.],1,15,0,0,207,0.6848557493618675,-60.0,2
75,3400,18,[513589.],1,6,0,0,283,0.5666940476712539,-42.0,3
76,19,19,[861821.],1,3,0,0,165,0.7640551105195067,-36.0,0
77,1151,19,[186832.],1,18,0,0,317,0.509366309824447,-66.0,1
78,2269,19,[734538.],1,7,0,0,359,0.4982841139678116,-44.0,2
79,3401,19,[513589.],0,15,0,0,400,0.4527426543192149,-30.0,3
80,20,20,[861821.],1,3,0,0,167,0.7483382193056094,-36.0,0
81,1152,20,[186832.],0,14,0,0,400,0.457584672445227,-28.0,1
82,2270,20,[734538.],1,15,0,0,357,0.5037836014283261,-60.0,2
83,3402,20,[513589.],1,18,0,0,335,0.5096008361881859,-66.0,3
84,21,21,[861821.],1,3,0,0,95,1.1532970093276271,-36.0,0
85,1153,21,[186832.],1,3,0,0,131,0.9115240701738928,-36.0,1
86,2271,21,[734538.],1,3,0,0,137,0.9207947897817964,-36.0,2
87,3403,21,[513589.],1,15,0,0,317,0.5443291045292342,-60.0,3
88,22,22,[861821.],1,5,0,0,212,0.6448489885123667,-40.0,0
89,1154,22,[186832.],1,10,0,0,270,0.5651743102234239,-50.0,1
90,2272,22,[734538.],1,3,0,0,92,1.247751925947314,-36.0,2
91,3404,22,[513589.],1,20,0,0,371,0.4846806220901826,-70.0,3
92,23,23,[861821.],1,8,0,0,189,0.7027282957247334,-46.0,0
93,1155,23,[186832.],1,8,0,0,155,0.8109512285211724,-46.0,1
94,2273,23,[734538.],0,6,0,0,400,0.4795935985861683,-12.0,2
95,3405,23,[513589.],1,15,0,0,284,0.5536004698149045,-60.0,3
96,24,24,[861821.],1,8,0,0,182,0.7273716019894919,-46.0,0
97,1156,24,[186832.],1,7,0,0,205,0.6681743695979774,-44.0,1
98,2274,24,[734538.],1,3,0,0,111,1.045325822522411,-36.0,2
99,3406,24,[513589.],1,9,0,0,284,0.5609543469439456,-48.0,3
100,25,25,[861821.],1,4,0,0,176,0.7184213601356773,-38.0,0
101,1157,25,[186832.],0,6,0,0,400,0.4604458505829223,-12.0,1
102,2275,25,[734538.],1,14,0,0,236,0.5971944895553618,-58.0,2
103,3407,25,[513589.],0,18,0,0,400,0.4620524812097578,-36.0,3
104,26,26,[861821.],1,7,0,0,190,0.6851121203443225,-44.0,0
105,1158,26,[186832.],1,7,0,0,204,0.6764699607762883,-44.0,1
106,2276,26,[734538.],0,11,0,0,400,0.4807294123124056,-22.0,2
107,3408,26,[513589.],0,18,0,0,400,0.4796796467443467,-36.0,3
108,27,27,[861821.],1,3,0,0,195,0.6898053315606166,-36.0,0
109,1159,27,[186832.],0,15,0,0,400,0.4727326203106509,-30.0,1
110,2277,27,[734538.],0,10,0,0,400,0.4857855006129553,-20.0,2
111,3409,27,[513589.],0,19,0,0,400,0.4738934123662262,-38.0,3
112,28,28,[861821.],0,11,0,0,400,0.4664480011458545,-22.0,0
113,1160,28,[186832.],1,3,0,0,317,0.5092798964629971,-36.0,1
114,2278,28,[734538.],1,4,0,0,281,0.5817039682534347,-38.0,2
115,3410,28,[513589.],1,3,0,0,205,0.6768687778887109,-36.0,3
116,29,29,[861821.],1,7,0,0,177,0.7372771829129107,-44.0,0
117,1161,29,[186832.],1,3,0,0,178,0.738845943000497,-36.0,1
118,2279,29,[734538.],0,8,0,0,400,0.4856008117418801,-16.0,2
119,3411,29,[513589.],0,18,0,0,400,0.4565408040405407,-36.0,3
