,index,Episode Number,Key,Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulativ reward,agent_id
73,498,18,[218411.],1,18,0,0,389,0.4614368803031105,-66.0,1
74,981,18,[686261.],1,17,0,0,270,0.57347343912339,-64.0,2
75,1462,18,[905226.],1,17,0,0,345,0.4996730830292649,-64.0,3
76,19,19,[62232.],1,9,0,0,182,0.7082911885159349,-48.0,0
77,499,19,[218411.],1,7,0,0,168,0.7681131765518122,-44.0,1
78,982,19,[686261.],0,19,0,0,400,0.4669056340790916,-38.0,2
79,1463,19,[905226.],0,14,0,0,400,0.4706260753720099,-28.0,3
80,20,20,[62232.],0,17,0,0,400,0.4694464863195703,-34.0,0
81,500,20,[218411.],0,21,0,0,400,0.4607839926028527,-42.0,1
82,983,20,[686261.],1,11,0,0,358,0.4942901177984954,-52.0,2
83,1464,20,[905226.],1,19,0,0,321,0.5260544007029839,-68.0,3
84,21,21,[62232.],1,9,0,0,175,0.7314085904711496,-48.0,0
85,501,21,[218411.],1,3,0,0,95,1.1530278589168823,-36.0,1
86,984,21,[686261.],1,4,0,0,185,0.7419383999978256,-38.0,2
87,1465,21,[905226.],0,11,0,0,400,0.4546656061349269,-22.0,3
88,22,22,[62232.],1,5,0,0,246,0.575687910938859,-40.0,0
89,502,22,[218411.],1,15,0,0,358,0.4847257180904739,-60.0,1
90,985,22,[686261.],1,16,0,0,320,0.5107576341241273,-62.0,2
91,1466,22,[905226.],1,3,0,0,245,0.6436046942804705,-36.0,3
92,23,23,[62232.],1,12,0,0,264,0.564676059989624,-54.0,0
93,503,23,[218411.],1,16,0,0,372,0.4803408391642069,-62.0,1
94,986,23,[686261.],0,16,0,0,400,0.4660169455271682,-32.0,2
95,1467,23,[905226.],1,14,0,0,221,0.6639862716482121,-58.0,3
96,24,24,[62232.],1,17,0,0,249,0.5893604121484814,-64.0,0
97,504,24,[218411.],0,10,0,0,400,0.4604747893433405,-20.0,1
98,987,24,[686261.],0,12,0,0,400,0.4695506099193897,-24.0,2
99,1468,24,[905226.],0,16,0,0,400,0.4965607952005119,-32.0,3
100,25,25,[62232.],1,9,0,0,307,0.5426021333977518,-48.0,0
101,505,25,[218411.],1,8,0,0,187,0.6973931003117798,-46.0,1
102,988,25,[686261.],1,11,0,0,385,0.4700994058024799,-52.0,2
103,1469,25,[905226.],0,11,0,0,400,0.4800608735966213,-22.0,3
104,26,26,[62232.],1,4,0,0,156,0.7959422020853091,-38.0,0
105,506,26,[218411.],1,11,0,0,198,0.6908944043526561,-52.0,1
106,989,26,[686261.],1,7,0,0,211,0.6966199025410994,-44.0,2
107,1470,26,[905226.],0,6,0,0,400,0.4439158564829545,-12.0,3
108,27,27,[62232.],1,7,0,0,258,0.5713478654114977,-44.0,0
109,507,27,[218411.],1,17,0,0,390,0.4664288152583009,-64.0,1
110,990,27,[686261.],1,14,0,0,217,0.6758863949798518,-58.0,2
111,1471,27,[905226.],1,3,0,0,116,1.025241432122272,-36.0,3
112,28,28,[62232.],0,14,0,0,400,0.4532947587680333,-28.0,0
113,508,28,[218411.],0,24,0,0,400,0.4622478997879244,-48.0,1
114,991,28,[686261.],0,10,0,0,400,0.4645767443757932,-20.0,2
115,1472,28,[905226.],1,6,0,0,275,0.5621754539914681,-42.0,3
116,29,29,[62232.],0,12,0,0,400,0.4678862615949751,-24.0,0
117,509,29,[218411.],1,3,0,0,284,0.5399646439511935,-36.0,1
118,992,29,[686261.],0,16,0,0,400,0.4545340198369185,-32.0,2
119,1473,29,[905226.],1,13,0,0,334,0.5143485051217569,-56.0,3
120,30,30,[62232.],0,17,0,0,400,0.4602654513614078,-34.0,0
121,510,30,[218411.],1,10,0,0,361,0.4841502680328412,-50.0,1
122,993,30,[686261.],1,5,0,0,133,0.9253801452487508,-40.0,2
123,1474,30,[905226.],1,11,0,0,346,0.4942022490037477,-52.0,3
124,31,31,[62232.],1,3,0,0,194,0.6820059708722118,-36.0,0
125,511,31,[218411.],1,12,0,0,371,0.4876775857142913,-54.0,1
126,994,31,[686261.],1,3,0,0,97,1.1929141440415092,-36.0,2
127,1475,31,[905226.],1,17,0,0,343,0.5152576130475609,-64.0,3
128,32,32,[62232.],1,19,0,0,321,0.4922947516441588,-68.0,0
129,512,32,[218411.],1,15,0,0,312,0.5348963803947319,-60.0,1
130,995,32,[686261.],1,19,0,0,364,0.4985712863353344,-68.0,2
