Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulative reward
1,3,0,0,207,0.5685810432677807,-26.0
1,11,0,0,338,0.39037589845953435,-42.0
1,19,0,0,355,0.38487089105076194,-58.0
1,3,0,0,109,1.0032443989996032,-26.0
0,13,0,0,401,0.3583585891262062,-26.0
1,3,0,0,80,1.2890366241658553,-26.0
1,3,0,0,162,0.6923703111241687,-26.0
1,19,0,0,344,0.38830419933874694,-58.0
1,10,0,0,243,0.5066747349846582,-40.0
1,12,0,0,214,0.5653939296489966,-44.0
1,14,0,0,230,0.5294497622594792,-48.0
1,3,0,0,132,0.8413499919375965,-26.0
0,0,0,0,23,2.869564728648506,0.0
1,9,0,0,146,0.7757335651037217,-38.0
1,2,0,0,68,1.5134258169509347,-24.0
1,9,0,0,188,0.6299133108628433,-38.0
1,10,0,0,258,0.4831345807606693,-40.0
1,9,0,0,275,0.45783789056530944,-38.0
1,3,0,0,125,0.8576388981354296,-26.0
1,7,0,0,244,0.505730087952223,-34.0
1,3,0,0,101,1.067396835348621,-26.0
1,3,0,0,57,1.8027436470929736,-26.0
1,3,0,0,99,1.0911208157271877,-26.0
1,5,0,0,119,0.9058576950718358,-30.0
1,26,0,0,352,0.37834386816886506,-72.0
1,9,0,0,208,0.590720560358437,-38.0
1,14,0,0,336,0.3946154423318903,-48.0
1,3,0,0,115,0.9478096537170125,-26.0
1,14,0,0,276,0.4631707564832347,-48.0
1,19,0,0,326,0.40983691399158945,-58.0
1,9,0,0,163,0.6955986014573213,-38.0
1,3,0,0,105,1.0302891466095594,-26.0
1,7,0,0,130,0.8580034782888514,-34.0
1,6,0,0,121,0.8943768439306403,-32.0
1,5,0,0,92,1.1410496077624694,-30.0
0,15,0,0,401,0.34744763875034895,-30.0
1,7,0,0,122,0.8833986902468858,-34.0
1,3,0,0,80,1.3238489689543829,-26.0
1,2,0,0,98,1.0925699965102038,-24.0
1,11,0,0,174,0.6522944581789124,-42.0
1,17,0,0,399,0.3480534837029833,-54.0
1,3,0,0,179,0.6478221835003791,-26.0
1,9,0,0,138,0.7896183088187765,-38.0
1,3,0,0,169,0.6714235174672073,-26.0
1,7,0,0,206,0.5742200460085563,-34.0
1,3,0,0,128,0.8572393564420276,-26.0
1,21,0,0,286,0.45336083980652947,-62.0
